"size","water_clarity","lpe_method","substrate_shade","n","median","min","max"
"Large","Clear","Aerial","Medium",3,16050,14860,43660
"Large","Clear","Ground","Medium",7,105654,19405,314148
"Medium","Clear","Aerial","Light",3,38405,18777,83495
"Medium","Clear","Aerial","Medium",22,36250,6267,131349
"Medium","Clear","Ground","Medium",25,44997,20874,91897
"Medium","Pt_Turb_Tannic","Aerial","Dark",5,6333,2477,77872
"Medium","Pt_Turb_Tannic","Aerial","Light",7,16893,3761,66368
"Medium","Pt_Turb_Tannic","Aerial","Medium",1,10493,10493,10493
"Medium","Pt_Turb_Tannic","Ground","Medium",2,15633,5399,25866
"Small","Clear","Aerial","Medium",1,22677,22677,22677
"Small","Clear","Ground","Light",18,1621,79,8726
"Small","Clear","Ground","Medium",38,3686,372,23681
"Small","Pt_Turb_Tannic","Ground","Medium",2,5964,728,11200
"X-Large","Clear","Aerial","Light",7,5536,3552,67090
"X-Large","Clear","Aerial","Medium",3,51480,16274,175000
"X-Large","Clear","Ground","Medium",1,53100,53100,53100
"X-Large","Pt_Turb_Tannic","Aerial","Dark",12,27797,6943,243450
"X-Large","Pt_Turb_Tannic","Aerial","Light",3,16600,11012,113905
"X-Large","Pt_Turb_Tannic","Aerial","Medium",2,62408,48315,76500
