"","lpe_method","size","water_clarity","n","min.pop","Average.Pop","max.pop","MoR","MoR.Min","MoR.Max","MoR.SD","MoR.CV"
"1","Aerial","All","Clear",39,13682,103455,416790,3.94,0.99,15.83,3.43,87.2
"2","Aerial","All","Pt_Turb_Tannic",30,5604,125724,491098,3.7,1.4,10.51,2.27,61.4
"3","Ground","All","Clear",89,167,61119,680454,1.94,1.07,7.57,0.87,44.7
"4","Ground","All","Pt_Turb_Tannic",4,2387,24008,56192,2.54,2.06,3.28,0.72,28.3
"5","Aerial","< 25k","Clear",20,13682,54641,148169,5.18,1.22,15.83,4.27,82.6
"6","Aerial","< 25k","Pt_Turb_Tannic",15,5604,49096,123014,4.76,1.4,10.51,2.74,57.6
"7","Ground","< 25k","Clear",64,167,14211,148169,1.81,1.07,7.57,0.83,45.8
"8","Ground","< 25k","Pt_Turb_Tannic",3,2387,13280,23032,2.67,2.06,3.28,0.8,30
"9","Aerial","< 25k SM","Clear",11,13682,42672,81169,2.53,1.22,3.78,0.88,34.7
"10","Aerial","< 25k SM","Pt_Turb_Tannic",9,5604,28731,71372,3.61,1.4,7.57,1.99,55.1
"11","Ground","< 25k SM","Clear",62,167,11430,55410,1.71,1.07,2.59,0.37,21.5
"12","Ground","< 25k SM","Pt_Turb_Tannic",3,2387,13280,23032,2.67,2.06,3.28,0.8,30
"13","Aerial","< 10k SM","Clear",2,13682,22577,31472,2.98,2.18,3.78,1.15,38.6
"14","Aerial","< 10k SM","Pt_Turb_Tannic",6,5604,19504,36439,3.67,1.4,7.57,2.46,67
"15","Ground","< 10k SM","Clear",49,167,5783,15344,1.69,1.07,2.59,0.37,21.7
"16","Ground","< 10k SM","Pt_Turb_Tannic",2,2387,8404,14420,2.97,2.67,3.28,0.77,25.7
