"parameter","Estimate","std.error","cross.zero"
"(Intercept)",11.1578790054656,0.204694854711792,"No"
"lnlpe.sc",1.30914873002673,0.221714156680106,"No"
"sizeSmall",-1.26548063989228,0.181101724921268,"No"
"sizeMedium",-1.0797911422995,0.175641020716286,"No"
"substrate_shadeLight",0.496982108736709,0.11622891130847,"No"
"substrate_shadeMedium",0.48331617736272,0.127300437458617,"No"
"lnlpe.sc:substrate_shadeMedium",-0.411463929456525,0.137866344329797,"No"
"sizeSmall:lnlpe.sc",0.390634188872703,0.154696644157555,"No"
"lpe_methodGround",-0.37706287836275,0.120703518434174,"No"
"sizeX-Large",-0.374019182610743,0.188331177334812,"No"
"sizeMedium:lnlpe.sc",0.368214860756653,0.17884892215099,"No"
"lnlpe.sc:substrate_shadeLight",-0.364441027712668,0.139548927271727,"No"
"water_clarityPt_Turb_Tannic",0.271788735735692,0.0936812076219153,"No"
"lnlpe.sc:lpe_methodGround",0.219033569338779,0.156952249851004,"No"
"lnlpe.sc:water_clarityPt_Turb_Tannic",-0.157109032521841,0.107410629774955,"No"
"sizeX-Large:lnlpe.sc",-0.104905393016931,0.203082479907743,"Yes"
