"source","rank.set.level","no.estimates","mean.percent.error","abs.mean.percent.error","mean.abs.per.error","max.abs.per.error","root.mean.sqrd.error","no.abs.error.over.5","percent.abs.error.over.5","mean.abs.scaled.error","r.correlation","real.CV","fit.CV","mean.CV","rel.abs.MPE","rel.MAPE","rel.RMSE","rel.MASE","rel.cor","rel.over.5","rel.sum","rel.sumMASE","rel.sumRed","rel.sum.5","sys.meth.set","rank.filter","rank.method","rank.set","special.level"
"All_Clarity_Model",1,85,0.0569732534714866,0.0569732534714866,0.202371998537257,0.746848857189932,19370.524047245,5,0.0588235294117647,1.03898642476377,0.91390691398501,0.9,7.7,7.7,0.087931377638154,0,0.0939595379502319,0,0.843363454766631,0.05,0.256313592588754,0.205050874071003,0.0606303051961286,0.215050874071003,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"All_Minimal_Model",1,85,0.113512529310746,0.113512529310746,0.236574043724799,1.07274080675072,17991.3101953171,9,0.105882352941176,1.04106439829202,0.927418916407905,0.8,6.7,6.7,0.305883206022794,0.210795970109694,0,0.00246506395498927,0,0.25,0.129169794033122,0.103828848017495,0.172226392044163,0.153335835226498,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"All_ROM_Agg_Model",2,85,0.0368002258457521,0.0368002258457521,0.214469799929654,0.893466208931242,20561.8483439953,6,0.0705882352941176,1.12210431229361,0.91333296047105,0.3,3.1,3.1,0.0101668822529894,0.0745618505186287,0.175119018994505,0.0986013083319391,0.879187265572704,0.1,0.284758754334707,0.247527265134153,0.0866159172553745,0.247807003467766,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"All_ROM_GenB_Model",1,85,0.293574615369878,0.293574615369878,0.364623891539501,1.49773083976305,32670.1164348544,24,0.282352941176471,1.88195584308048,0.912790479570903,0.6,5.6,5.6,1,1,1,1,0.913046685647826,1,0.978261671411956,0.982609337129565,1,0.982609337129565,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"All_ROM_Gen_Model",1,85,0.0755264597960378,0.0755264597960378,0.227391290787307,0.982374199542917,21690.504798081,9,0.105882352941176,1.18061701590576,0.913295427403339,0.4,3.5,3.5,0.159451664744936,0.154200310314431,0.25200922625439,0.168013913748856,0.881529924836787,0.25,0.361797781537636,0.32304100797988,0.188553733771252,0.339438225230109,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"Inverse_SM_Both_Data_Model",2,85,0.13238409580849,0.13238409580849,0.25979714337995,1.17452339315709,25018.2410246775,14,0.164705882352941,1.37968726861854,0.911397351391629,4,37.4,37.4,0.378630731731453,0.353925885116788,0.478712690575162,0.404167501752438,1,0.5,0.552817326855851,0.523087361835168,0.403756435807801,0.542253861484681,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"Inverse_SM_Ground_Data_Model",2,85,0.0341628166329577,0.0341628166329577,0.210972098224997,0.793091972751275,19820.9404772044,5,0.0588235294117647,1.08254718475408,0.91178779042767,2.9,27.2,27.2,0,0.0530046184892388,0.124644351320558,0.0516753740334847,0.975630405915756,0.05,0.288319843931388,0.240990949951807,0.0592163232699321,0.240655875145111,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"SM_Data_Model",2,85,0.0605877260853903,0.0605877260853903,0.209737936822759,0.731061458565882,19508.1748854678,4,0.0470588235294118,1.06384072229888,0.912305096785087,0.6,5.6,5.6,0.101864716952335,0.0453981654648575,0.103337060616348,0.0294842220785878,0.943342276953857,0,0.298485554996849,0.244685288413197,0.0835333143445137,0.23878844399748,"02_AggregateSize_General - SM - Ground","SM","Ground","02_AggregateSize_General",2
"All_Clarity_Model",1,39,0.104310889711421,0.104310889711421,0.298749561271985,1.2246256987058,38475.8105672515,6,0.153846153846154,0.785899697068997,0.793515612001922,0.9,9.8,9.8,0.234716151073964,0.0248382680331353,0.0479282369320285,0,0.214827970778508,0,0.130577656704409,0.104462125363527,0.102494218679709,0.104462125363527,"02_AggregateSize_General - SM - Aerial","SM","Aerial","02_AggregateSize_General",2
"All_Minimal_Model",1,39,0.0260001332669167,0.0260001332669167,0.29395991241225,1.10187541918197,36396.6115422558,8,0.205128205128205,0.78885931616318,0.81475699066672,0.8,8.2,8.2,0,0,0,0.00427019723104032,0,0.25,0,0.000854039446208063,0,0.05,"02_AggregateSize_General - SM - Aerial","SM","Aerial","02_AggregateSize_General",2
