"watershed_group","run_timing_group","CU","gazetted_stream_name","stream_alias","year","size","aggr","lpe_method","water_clarity","lpe","hpe","classic","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate"
"Harrison-Lillooet","Late","Harrison (U/S)-L","Weaver Creek",NA,1996,"Small","SM","Ground","Clear",23681,38248,42625.8,"All_Clarity_Model",10.5676828784657,0.0829211639565922,8.3,35766.311668469,42218.0883647434,38858.52939189
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,1989,"Medium","SM","Ground","Clear",21002,43189,37803.6,"SM_Data_Model",10.5563519846625,0.0343991842751802,3.4,37121.5447247842,39765.3484044201,38420.7126338295
"North Thompson","Early Summer","North Barriere - ES","Barriere River (Upper)","Fennel/Fennell Creek",1996,"Small","SM","Ground","Clear",18677,32278,33618.6,"All_Clarity_Model",10.3367548800734,0.0751778049661276,7.5,28611.87370345,33254.0779953283,30845.769235456
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,1991,"Medium","SM","Ground","Clear",42300,94931,76140,"Stellako_Discharge_Model",11.5641851709466,0.0900591959313329,9,96194.3569158874,115179.189805678,105259.622331881
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O' Ne-Ell Creek","Kynock/Kynoch Creek",1995,"Small","SM","Ground","Clear",16431,27010,29575.8,"Early_Stu_DeadAlive_Model",30.7187378387875,0.420578117388615,44,27813.0586836952,30194.455636645,28987.4560205334
"North Thompson","Early Summer","North Barriere - ES","Barriere River (Upper)","Fennel/Fennell Creek",1988,"Small","SM","Ground","Clear",14922,26932,26859.6,"All_Clarity_Model",10.1183996264321,0.0682633443926894,6.8,23158.9427782945,26546.7596150653,24795.0577106494
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O' Ne-Ell Creek","Kynock/Kynoch Creek",1991,"Small","SM","Ground","Clear",11100,25402,19980,"Early_Stu_DeadAlive_Model",27.9016394820771,0.41946997321273,43.9,20756.4482964964,22715.9438965606,21721.4677927126
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,1992,"Medium","SM","Ground","Clear",88555,97985,159399,"Stellako_Discharge_Model",11.6854823339288,0.119249870273213,12,105475.340332836,133884.424656737,118833.939831747
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Dust Creek",NA,2001,"Small","SM","Ground","Pt_Turb_Tannic",11200,23032,20160,"All_Clarity_Model",10.1276758632591,0.113915693423005,11.4,22331.6485731442,28045.7267882908,25026.1326339993
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",NA,1991,"Small","SM","Ground","Clear",11006,18572,19810.8,"Early_Stu_DeadAlive_Model",26.2294111973588,0.287983139985365,29.4,17457.4834918643,18646.294579219,18045.3630828427
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",NA,1995,"Small","SM","Ground","Clear",12292,16503,22125.6,"Early_Stu_DeadAlive_Model",26.0795681954651,0.340084397481626,35,17052.9492193547,18440.865810104,17737.8586297801
"Nechako","Summer","Francois-Fraser-S","Stellako River",NA,1993,"Medium","SM","Ground","Clear",46658,91443,83984.4,"Stellako_Discharge_Model",11.6086381777064,0.0960216217716582,9.6,99969.1138672028,121134.866067565,110044.287535504
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,1994,"Large","LXL","Ground","Clear",314148,680454,565466.4,"All_Clarity_Model",13.5488722258387,0.178629892137517,18,640652.414462872,915753.147745095,765950.040900104
"Quesnel","Summer","Quesnel-S","Mitchell River",NA,1994,"Medium","SM","Aerial","Pt_Turb_Tannic",35000,124148,63000,"All_Minimal_Model",11.4762434735419,0.0898805969717388,9,88111.8999989176,105463.908148891,96398.2641353575
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",NA,1994,"Medium","SM","Ground","Pt_Turb_Tannic",25866,56192,46558.8,"All_Minimal_Model",11.0552126886881,0.0447327033151963,4.5,60504.9213520654,66167.5467925387,63272.918493947
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",NA,1994,"X-Large","LXL","Aerial","Pt_Turb_Tannic",6943,42668,12497.4,"All_ROM_GenB_Model",9.62959764542199,0.493603121568601,52.5,9283.50570012515,24914.3885005979,15208.3157404242
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,1991,"Small","SM","Ground","Clear",8199,15344,14758.2,"Early_Stu_DeadAlive_Model",25.0968964947289,0.329317832535216,33.8,15193.2489121573,16437.8536880981,15807.386007173
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Gluske Creek",NA,1995,"Small","SM","Ground","Clear",8726,15069,15706.8,"Early_Stu_DeadAlive_Model",25.1220027848692,0.295027707571974,30.2,15302.818411768,16420.0482833203,15854.8733885659
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O' Ne-Ell Creek","Kynock/Kynoch Creek",2001,"Small","SM","Ground","Clear",5881,14035,10585.8,"Early_Stu_DeadAlive_Model",21.8480003653665,0.235554620937972,23.9,10095.1260987863,10769.7831982065,10428.8178753988
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",NA,1990,"Small","SM","Ground","Clear",7308,13795,13154.4,"Early_Stu_DeadAlive_Model",22.1536847056581,0.263583195164085,26.8,10489.2231926665,11265.4370686214,10872.7126757506
"Late South Thompson","Late","Shuswap Complex-L","Adams River (Lower)",NA,1995,"Large","LXL","Ground","Clear",177907,395951,320232.6,"All_Clarity_Model",13.1390738459057,0.138443764668279,13.9,442692.236224417,583919.033291121,508425.43467223
