"abin","metric","water_clarity","n","updated.to.default","updated.to.zero","default.to.zero"
"0-25K","MPE","Clear",53,"0.016","0.236","0.0043"
"0-25K","MAPE","Clear",53,"0.003","< 0.0025*","< 0.0025*"
"0-25K","MPE","Turbid/Tannic",7,"< 0.0025*","0.293","0.0573"
"0-25K","MAPE","Turbid/Tannic",7,"0.495","0.0208","< 0.0025*"
"0-25K","MPE","Combined",60,"0.541","0.107","0.0754"
"0-25K","MAPE","Combined",60,"0.003","< 0.0025*","< 0.0025*"
"25-75k","MPE","Clear",30,"< 0.0025*","0.423","0.0183"
"25-75k","MAPE","Clear",30,"0.628","< 0.0025*","< 0.0025*"
"25-75k","MPE","Turbid/Tannic",13,"< 0.0025*","0.553","< 0.0025*"
"25-75k","MAPE","Turbid/Tannic",13,"0.164","< 0.0025*","< 0.0025*"
"25-75k","MPE","Combined",43,"< 0.0025*","0.674","< 0.0025*"
"25-75k","MAPE","Combined",43,"0.697","< 0.0025*","< 0.0025*"
"75k+","MPE","Clear",45,"< 0.0025*","0.159","< 0.0025*"
"75k+","MAPE","Clear",45,"< 0.0025*","< 0.0025*","< 0.0025*"
"75k+","MPE","Turbid/Tannic",14,"< 0.0025*","0.393","< 0.0025*"
"75k+","MAPE","Turbid/Tannic",14,"0.748","< 0.0025*","< 0.0025*"
"75k+","MPE","Combined",59,"< 0.0025*","0.0982","< 0.0025*"
"75k+","MAPE","Combined",59,"0.009","< 0.0025*","< 0.0025*"
"All","MPE","Combined",162,"< 0.0025*","0.841","< 0.0025*"
"All","MAPE","Combined",162,"< 0.0025*","< 0.0025*","< 0.0025*"
