"abin","type","size","water_clarity","n","MPE","MAPE","RMSE","total.expanded","avg.high.accuracy"
"0-25K","historical","Small","Clear",51,11.6,20.1,1885,351344,6244
"0-25K","updated","Small","Clear",51,2.7,12.4,1306,319901,6244
"0-25K","historical","Small","Turbid/Tannic",2,-28.8,28.8,2169,21470,12710
"0-25K","updated","Small","Turbid/Tannic",2,2.8,5.9,1411,27338,12710
"0-25K","historical","Medium","Clear",1,-17.6,17.6,2401,11281,13682
"0-25K","updated","Medium","Clear",1,61,61,8350,22032,13682
"0-25K","historical","Medium","Turbid/Tannic",5,-20.2,31.5,4919,51867,13305
"0-25K","updated","Medium","Turbid/Tannic",5,18.1,30.4,5238,76999,13305
"0-25K","historical","X-Large","Clear",1,-46.4,46.4,7041,8136,15177
"0-25K","updated","X-Large","Clear",1,-37.2,37.2,5646,9531,15177
"25-75k","historical","Small","Clear",5,0.7,9.3,3375,152660,29974
"25-75k","updated","Small","Clear",5,-3.6,7.2,2211,145208,29974
"25-75k","historical","Medium","Clear",19,-6.4,26.4,12783,746194,44242
"25-75k","updated","Medium","Clear",19,21,31,14937,979759,44242
"25-75k","historical","Medium","Turbid/Tannic",6,-49.7,49.7,23138,137729,43779
"25-75k","updated","Medium","Turbid/Tannic",6,-12.8,21.3,10477,231962,43779
"25-75k","historical","Large","Clear",2,-39.5,39.5,21021,63819,52713
"25-75k","updated","Large","Clear",2,43.3,52.1,35686,151054,52713
"25-75k","historical","X-Large","Clear",4,-72.7,72.7,42920,46265,50981
"25-75k","updated","X-Large","Clear",4,-66.3,66.3,41313,56438,50981
"25-75k","historical","X-Large","Turbid/Tannic",7,-27.2,33,21958,294680,55871
"25-75k","updated","X-Large","Turbid/Tannic",7,-0.8,36.2,26725,405241,55871
"75k+","historical","Small","Clear",1,-49.7,49.7,40350,40819,81169
"75k+","updated","Small","Clear",1,-53.7,53.7,43586,37583,81169
"75k+","historical","Medium","Clear",30,-7.4,25.9,41787,3353542,123248
"75k+","updated","Medium","Clear",30,1.1,20.9,32319,3644524,123248
"75k+","historical","Medium","Turbid/Tannic",4,-46.6,46.6,97466,370307,178427
"75k+","updated","Medium","Turbid/Tannic",4,-23.5,23.5,71417,501683,178427
"75k+","historical","Large","Clear",8,-51.5,51.5,167762,1678588,365433
"75k+","updated","Large","Clear",8,-16.6,29.6,100596,2706929,365433
"75k+","historical","X-Large","Clear",6,-48.2,48.2,84704,665476,187519
"75k+","updated","X-Large","Clear",6,-24.3,35.2,65167,1011043,187519
"75k+","historical","X-Large","Turbid/Tannic",10,-39.4,41.8,93839,1694633,240835
"75k+","updated","X-Large","Turbid/Tannic",10,-6.7,46.9,141552,2686024,240835
