"watershed_group","run_timing_group","CU","gazetted_stream_name","year","size","aggr","lpe_method","water_clarity","substrate_shade","lpe","estimate_method","final_estimate","RSA","RSA_reason","default","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate","default.per.diff","RSA.per.diff","RSA.applied","n","min10","max10"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Driftwood River",2024,"Large","LXL","Aerial","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,7,"Large",5.4,"All_ROM_Gen_Model",1.22310134334973,0.071660655974555,7.2,3.16274615745887,3.6501271380283,3.4,-0.37037037037037,-0.514285714285714,"Yes",3,13370,48030
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Porter Creek",2024,"Small","SM","Aerial","Clear","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.8,"High Vegetation Cover",1.8,"All_Minimal_Model",0.837282520677233,0.354831597752701,36.6,1.62004013385912,3.29403783732307,2.3,0.277777777777778,-0.178571428571429,"Yes",1,20410,24940
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Dust Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",26,26,NA,28.8,"All_Clarity_Model",4.41890972493523,0.508697831368064,54.3,49.9095263606222,138.04884285969,83,1.88194444444444,2.19230769230769,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Frypan Creek",2024,"Small","SM","Ground","Clear","Medium",6,"(Peak Live + Cumulative Dead)*Expansion",10,10,NA,10.8,"All_Clarity_Model",2.5120904855479,0.265828678589676,27.1,9.45233505697085,16.0855147836756,12.3,0.138888888888889,0.23,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Hudson Bay Creek",2024,"Small","SM","Ground","Clear","Medium",7,"(Peak Live + Cumulative Dead)*Expansion",12,12,NA,12.6,"All_Clarity_Model",2.66205120327281,0.259758408002904,26.4,11.0484792633868,18.5748703594328,14.3,0.134920634920635,0.191666666666667,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Narrows Creek",2024,"Small","SM","Ground","Clear","Medium",12,"(Peak Live + Cumulative Dead)*Expansion",20,20,NA,21.6,"All_Clarity_Model",3.1863972664343,0.238571131302769,24.2,19.064465078341,30.7216739617435,24.2,0.12037037037037,0.21,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",2024,"Small","SM","Ground","Clear","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",27,27,NA,28.8,"Early_Stu_DeadAlive_Model",3.97592693128727,0.714895653317593,81.7,34.6788664317134,103.215999480639,62.9,1.18402777777778,1.32962962962963,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O'Ne-ell Creek",2024,"Small","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",3,3,NA,3.6,"All_Clarity_Model",1.44333952386095,0.309198077781466,31.7,3.10850357898047,5.76922410904796,4.2,0.166666666666667,0.4,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Van Decar Creek",2024,"Small","SM","Ground","Clear","Medium",11,"(Peak Live + Cumulative Dead)*Expansion",18,18,NA,19.8,"All_Clarity_Model",3.1017509414345,0.241987072527921,24.6,17.4574042139023,28.3248075902981,22.2,0.121212121212121,0.233333333333333,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Paula Creek",2024,"Small","SM","Ground","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,5,NA,5.4,"All_Clarity_Model",1.8377837046615,0.293172300723566,30,4.68615025362084,8.42291531602031,6.3,0.166666666666667,0.26,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Sidney Creek",2024,"Small","SM","Ground","Clear","Medium",138,"(Peak Live + Cumulative Dead)*Expansion",228,228,NA,248.4,"All_Clarity_Model",5.56235898627689,0.14393137297483,14.5,225.524232259936,300.753309590587,260.4,0.0483091787439612,0.142105263157895,"No",58,70,26050
"Early South Thompson","Early Summer","Shuswap-ES","Eagle River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",31,"(Peak Live + Cumulative Dead)*Expansion",56,72.8,"Inconsistint Survey Schedule; Moderate Counting Conditions",55.8,"All_Minimal_Model",5.73498769247982,0.402740826733103,42,206.902334051075,463.000678354152,309.5,4.54659498207885,3.25137362637363,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",2024,"Medium","SM","Ground","Clear","Medium",407,"(Peak Live + Cumulative Dead)*Expansion",734,954.2,"Inconsistint Survey Schedule; Moderate Counting Conditions",732.6,"All_Minimal_Model",7.96550777627947,0.229894332768705,23.3,2288.41208533867,3624.24804188048,2879.9,2.93106743106743,2.01813037099141,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap - Early Summer","Adams River, upper",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Poor Visibility",1.8,"All_Minimal_Model",2.93016863579812,0.615684593690468,67.9,10.1197002323129,34.6692535557122,18.7,9.38888888888889,6.79166666666667,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap - Early Summer","Anstey River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",34,"(Peak Live + Cumulative Dead)*Expansion",61,61,NA,61.2,"All_Clarity_Model",5.07576427736855,0.451876647224444,47.6,101.889371356729,251.549785592873,160.1,1.61601307189542,1.62459016393443,"No",58,70,26050
"Early South Thompson","Early Summer","Shuswap - Early Summer","Perry River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Turbid",1.8,"All_Clarity_Model",2.00281042474001,0.719986557573407,82.4,3.60681051211682,15.2228407718499,7.4,3.11111111111111,2.08333333333333,"Yes",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt River",2024,"Large","LXL","Aerial","Clear","Light",3911,"(Peak Live + Cumulative Dead)*Expansion",7484,9729.2,"Large, Turbid, Aerial",7039.8,"All_ROM_Gen_Model",9.20883739705018,0.53953937032586,58.1,5821.41143963351,17126.4060929285,9985,0.418364158072672,0.0262919870081815,"Yes",3,13370,48030
"Lower Fraser","Early Summer","Nahatlatch-ES","Nahatlatch River",2024,"Medium","SM","Ground","Clear","Medium",849,"(Peak Live + Cumulative Dead)*Expansion",1528,1833.6,"Turbid",1528.2,"All_Minimal_Model",8.51265698439004,0.192792419388543,19.5,4104.60406358263,6035.71380315033,4977.4,2.25703441957859,1.71455061082024,"Yes",27,4860,101090
"Lower Fraser","Early Summer","Pitt-ES","Corbold Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",2105,"(Peak Live + Cumulative Dead)*Expansion",3924,4002.48,"Turbid, Aerial",3789,"All_Clarity_Model",8.67100561230504,0.163113468270416,16.4,4953.71036783017,6864.50410660456,5831.4,0.539034045922407,0.456946693050309,"Yes",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Fish Hatchery Creek",2024,"Small","SM","Ground","Clear","Medium",19,"(Peak Live + Cumulative Dead)*Expansion",34,34,NA,34.2,"All_Clarity_Model",3.63343907000347,0.220563398937786,22.3,30.3524024056296,47.1815284190507,37.8,0.105263157894737,0.111764705882353,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","South Boise Creek",2024,"Small","SM","Ground","Clear","Medium",51,"(Peak Live + Cumulative Dead)*Expansion",92,92,NA,91.8,"All_Clarity_Model",4.59398761513779,0.182119010518527,18.4,82.4233363226869,118.641533767267,98.9,0.0773420479302833,0.0750000000000001,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Olsen Creek",2024,"Small","SM","Ground","Clear","Medium",8,"(Peak Live + Cumulative Dead)*Expansion",14,14,NA,14.4,"All_Clarity_Model",2.79195308563376,0.254503740151001,25.9,12.6473707216948,21.0406614641343,16.3,0.131944444444444,0.164285714285714,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt Channel",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1758,"(Peak Live + Cumulative Dead)*Expansion",3164,3164,NA,3164.4,"All_Clarity_Model",8.51402852230573,0.17344249078974,17.5,4190.54481335037,5928.17100226305,4984.2,0.575085324232082,0.575284450063211,"No",58,70,26050
"Lower Fraser","Early Summer","Chilliwack-ES","Depot Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",31,"(Peak Live + Cumulative Dead)*Expansion",56,56,NA,55.8,"All_Clarity_Model",4.99526798437888,0.458817615182213,48.4,93.3588219179797,233.711067830478,147.7,1.64695340501792,1.6375,"No",58,70,26050
