"watershed_group","run_timing_group","CU","gazetted_stream_name","year","size","aggr","lpe_method","water_clarity","substrate_shade","lpe","estimate_method","final_estimate","RSA","RSA_reason","min10.ms","is.less.than","max10.ma","is.greater.than","default","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate","default.per.diff","RSA.per.diff","RSA.applied"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Driftwood River",2024,"Large","LXL","Aerial","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,7,"Large",13370,TRUE,267800,FALSE,5.4,"MoR_Low_Abundance_Models",7.60231344665325,2.64133476310761,34.7,4.96097868354564,10.2436482097609,7.6,0.407407407407407,0.0857142857142857,"Yes"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Porter Creek",2024,"Small","SM","Aerial","Clear","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.8,"High Vegetation Cover",20410,TRUE,144480,FALSE,1.8,"MoR_Low_Abundance_Models",2.53410448221775,0.88044492103587,34.7,1.65365956118188,3.41454940325362,2.5,0.388888888888889,-0.107142857142857,"Yes"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Dust Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",26,26,NA,70,TRUE,101090,FALSE,28.8,"MoR_Low_Abundance_Models",42.6994117347738,12.8134982025379,30,29.8859135322359,55.5129099373118,42.7,0.482638888888889,0.642307692307692,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Frypan Creek",2024,"Small","SM","Ground","Clear","Medium",6,"(Peak Live + Cumulative Dead)*Expansion",10,10,NA,70,TRUE,101090,FALSE,10.8,"MoR_Low_Abundance_Models",10.24431878273,2.20364869776429,21.5,8.04067008496571,12.4479674804943,10.2,-0.0555555555555557,0.0199999999999999,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Hudson Bay Creek",2024,"Small","SM","Ground","Clear","Medium",7,"(Peak Live + Cumulative Dead)*Expansion",12,12,NA,70,TRUE,101090,FALSE,12.6,"MoR_Low_Abundance_Models",11.9517052465183,2.57092348072501,21.5,9.38078176579332,14.5226287272433,12,-0.0476190476190476,0,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Narrows Creek",2024,"Small","SM","Ground","Clear","Medium",12,"(Peak Live + Cumulative Dead)*Expansion",20,20,NA,70,TRUE,101090,FALSE,21.6,"MoR_Low_Abundance_Models",20.48863756546,4.40729739552858,21.5,16.0813401699314,24.8959349609886,20.5,-0.050925925925926,0.025,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",2024,"Small","SM","Ground","Clear","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",27,27,NA,70,TRUE,101090,FALSE,28.8,"Early_Stu_DeadAlive_Model",3.97592693128727,0.714895653317593,81.7,34.6788664317134,103.215999480639,62.9,1.18402777777778,1.32962962962963,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O'Ne-ell Creek",2024,"Small","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",3,3,NA,70,TRUE,101090,FALSE,3.6,"MoR_Low_Abundance_Models",3.41477292757667,0.73454956592143,21.5,2.68022336165524,4.1493224934981,3.4,-0.0555555555555556,0.133333333333333,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Van Decar Creek",2024,"Small","SM","Ground","Clear","Medium",11,"(Peak Live + Cumulative Dead)*Expansion",18,18,NA,70,TRUE,101090,FALSE,19.8,"MoR_Low_Abundance_Models",18.7812511016717,4.04002261256787,21.5,14.7412284891038,22.8212737142395,18.8,-0.0505050505050505,0.0444444444444445,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Paula Creek",2024,"Small","SM","Ground","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,5,NA,70,TRUE,101090,FALSE,5.4,"MoR_Low_Abundance_Models",5.122159391365,1.10182434888215,21.5,4.02033504248285,6.22398374024714,5.1,-0.0555555555555557,0.0199999999999999,"No"
